Report,NoisyOR_Score,Positive Bigrams,Positive Unigrams,CRSHNMBR,CRSHDATE,CRSHTIME,NTFYHOUR,ONHWY,ONSTR,ATHWY,ATSTR,HWYCLASS,LATDECDG,LONDECDG
"~THERE WAS CONSTRUCTION CLOSING THE RIGHT S BOUND ON LANE ON 8TH ST S. THE LANE REOPENED JUST N OF TWO MILE AVE. OPERATOR #1 WAS JUST EXITING THE CONSTRUCTION AREA AND VEHICLES IN FRONT OF HIM HAD MOVED OVER TO THE RIGHT LANE. OPERATOR NUMBER #1 STATED HE LOOKED AHEAD AS THE VEHICLES IN FRONT OF HIM WERE MOVING TO RIGHT AND SAW THE TRAFFIC SIGNAL AT THE TWO MILE AVE INTERSECTION WAS GREEN FOR S BOUND TRAFFIC. OPERATOR #1 STAYED IN THE LEFT LANE AND HAD NOT NOTICED THE VEHICLES STILL STOPPED WAITING TO CONTINUE S BOUND. OPERATOR #1 DID HIT VEHICLE #2 IN THE REAR END PUSHING IT INTO VEHICLE #3 WHICH WAS PUSHED INTO VEHICLE #4.~WRONG VEHICLE INFORMATION FOR  VEHICLE #4.~19-17062
",0.999682002,"['the construction', 'construction area', 'was construction', 'closing the', 'just n']","['construction', 'construction', 'closing']",190800435,8/2/2019,1529,15,13,,,COOK AVE,U STH,44.36336703,-89.81705725
"~TWPD 2019-9193 / ACCIDENT REPORT # GZL045WRCL / 08/27/2019 - 11:00 AM / 101 N RIVER STREET / VILLAGE OF WATERFORD, RACINE COUNTY, STATE OF WISCONSIN - DISPATCHED TO A TWO VEHICLE PROPERTY DAMAGE ACCIDENT / VEH#1 WAS BACKING DOWN N RIVER STREET WHEN IT CAME INTO CONTACT WITH VEH#2 WHO WAS BACKING OUT OF A PARKING STALL AND NOW STOPPED IN TRAFFIC HONKING AT VEH#1. VEH#1 STRUCK VEH#1 WITH PASSENGER SIDE REAR TAILLAMP AREA. VEH#1 SUSTAINED MINOR DAMAGE. VEH#2 SUSTAINED MINOR DAMAGE TO DRIVERS SIDE REAR WHEEL FENDER AREA. BOTH OPERATORS CLAIMED NO INJURIES. BOTH VEHICLES HAD VALID INSURANCE. IN SPEAKING WITH OPERATOR #1 HE STATED THAT HE WAS LOOKING FOR A PARKING SPOT DUE TO THE ACTIVE CONSTRUCTION IN THE AREA. OPERATOR OF VEH#1 HAD A DENTIST APPOINTMENT ACROSS THE STREET. IN SPEAKING WITH OPERATOR OF VEH#2 HE STATED THAT HE WAS ACTIVELY CONDUCTING FIELD HIGHWAY WORK ON ELECTRICAL ISSUE WHERE HE WAS PARKED WORKING WITH HIGHWAY EQUIPMENT FROM THE DEPARTMENT OF PUBLIC WORKS TRUCK PRIOR TO BACKING OUT FROM THE AREA. A FLEET NUMBER OF #83 WAS ASSIGNED TO THE VILLAGE HWY TRUCK. ALL PARTIES WERE GIVEN POLICE COMPLAINT NUMBER FOR REFERENCE.~~VILLAGE OF WATERFORD (RACINE COUNTY)
",0.999656371,"['active construction', 'construction in', 'the active']","['construction', 'active']",190810737,8/27/2019,1100,11,,JEFFERSON ST,20,MAIN ST,R CITY,42.76386739,-88.21574983
"~UNIT 1 TRAVELED EAST ON W BURLEIGH ST AND MADE A LEFT TURN ONTO N 34TH ST STRIKING A FIRE HYDRANT ON THE EAST SIDE OF N 34TH ST.   THE OPERATOR OF UNIT 1 STATED HE MISJUDGED THE AMOUNT OF ROOM AVAILABLE FOR THE FIRE ENGINE TO MAKE THE TURN.  THE ROAD WAS PARTIALLY CLOSED WITH CONSTRUCTION BARRELS. IN ADDITION THE ROAD WAS NARROWED DUE TO SNOW.~~
",0.999641547,"['construction barrels', 'with construction', 'closed with', 'barrels in']","['construction', 'barrels', 'closed', 'narrowed']",190214133,2/3/2019,730,7,,N 34TH ST,,W BURLEIGH ST,U CITY,43.07540231,-87.95612748
"~HIGHWAY 22-54 BRIDGE EAST OF WAUPACA IS CURRENTLY UNDER CONSTRUCTION. TO KEEP TRAFFIC FLOWING THE ORIGINAL EB LANE HAS BEEN CLOSED AND A TEMPORARY STOP LIGHT HAS BEEN PUT IN PLACE ON BOTH SIDES OF THE BRIDGE. THE BRIDGE IS CURRENTLY ONE WAY TRAFFIC. THE ABOVE VEH WAS TRAVELING EB WHEN HE HIT A LARGE POT HOLE IN THE GROUND. HITTING THE POTHOLE CAUSED HIS TWO TIRES ON THE DRIVER SIDE TO POP. HE ALSO HAD A SUBSTANTIAL AMOUNT OF DAMAGE TO THE UNDERCARRIAGE AND FRONT BUMPER. R/O AND DRIVER HAD ALREADY CONTACTED A TOW SERVICE OUT OF GREEN BAY (GLENNS). DRIVER STATED HE WAS GOING BETWEEN 35-40 MPH AND WEARING HIS SEAT BELT, DRIVER WAS ABLE TO PROVIDE ME WITH CURRENT INSURANCE. STATE FARM,~~
",0.999627565,"['currently under', 'under construction', 'closed and', 'been closed', 'a temporary', 'is currently']","['construction', 'closed', 'temporary']",190504447,5/18/2019,2026,21,22,,,AXTELL LN,R STH,44.35288527,-89.02613844
"~ON 6/29/19 I WAS WORKING IN MY OFFICIAL CAPACITY AS A POLICE OFFICER FOR THE CITY OF MADISON WHEN I WAS DISPATCHED TO S BROOM ST AT W WILSON ST FOR REPORTS OF A VEHICLE CRASH WITH NO INJURIES AND NO BLOCKAGE.  UNIT 1 WAS PULLED OVER IN A CLOSED LANE OF TRAFFIC FOR CONSTRUCTION.  UNIT 1 PULLED OUT INTO THE ACTIVE LANE OF TRAFFIC AND CRASHED INTO THE SIDE OF UNIT 2 WHO WAS TRAVELING STRAIGHT IN HIS LANE.  UNIT 1 WAS CITED FOR AN UNSAFE LANE DEVIATION AND ADMITTED THAT IS WAS HIS FAULT.~~
",0.999618649,"['for construction', 'construction unit', 'closed lane', 'the active', 'a closed']","['construction', 'closed', 'active']",190611133,6/29/2019,2012,20,,S BROOM ST,,W WILSON ST,U CITY,43.06901715,-89.3857795
"~UNIT ONE WAS TRAVELING SOUTHBOUND ON S LAYTON BLVD TOWARD W LINCOLN AVE.  UNIT TWO WAS TRAVELING NORTHBOUND ON S LAYTON BLVD TOWARD W LINCOLN AVE.  S LAYTON BLVD NORTHBOUND FROM W LINCOLN AVE IS UNDER CONSTRUCTION AND THE ROAD IS CLOSED.  UNIT TWO ATTEMPTED TO MAKE A LEFT TURN TO HEAD WEST BOUND ON W LINCOLN AVE.  UNIT ONE STRUCK THE FRONT OF UNIT TWO.~~
",0.999617355,"['under construction', 'construction and', 'is under', 'closed unit', 'is closed']","['construction', 'closed']",190506533,5/22/2019,2032,20,,S 27TH ST,,W LINCOLN AVE,U CITY,43.00312853,-87.94816274
"~UNIT 2 WAS STOPPED BEHIND SEVERAL OTHER VEHICLES, WESTBOUND, IN THE 8600 BLOCK OF W. SILVER SPRING DR. WHEN IT WAS REAR-ENDED BY UNIT 1.     THE CONSTRUCTION/ROAD REPAIR IN THIS AREA OF W. SILVER SPRING DR. IS NOT A POSTED WORK ZONE.  THERE WERE NO CONSTRUCTION PERSONNEL IN THE AREA AT THE TIME OF THE CRASH.~~
",0.999610357,"['work zone', 'no construction', 'zone there']","['construction', 'zone']",190510822,5/30/2019,1042,10,E,,,W SILVER SPRING DR,U CITY,43.1195427,-88.02051895
"~UNIT 3 AND UNIT 1 WERE SB IN THE LEFT LANE ON HWY 16 GOING TOWARDS LA CROSSE ST. UNIT 2 WAS SB IN THE RIGHT LANE ON HWY 16 APPROACHING A RIGHT LANE CLOSURE FOR CONSTRUCTION. UNIT 1 WAS BEHIND UNIT 3 WITH OPEN SPACE FOR UNIT 2 TO MERGE. UNIT 2 MERGED SUCCESSFULLY ONTO THE LEFT LANE. UNIT 3 ABRUPTLY BRAKED AND STOPPED SAFELY FOR STOPPED TRAFFIC AHEAD. UNIT 2 ALSO BRAKED AND STOPPED SAFELY. UNIT 1 WAS UNABLE TO STOP SAFELY AND REAR ENDED UNIT 2. THE IMPACT CAUSED UNIT 2 TO REAR ENDED UNIT 3.~~
",0.999610277,"['for construction', 'construction unit', 'closure for', 'lane closure']","['construction', 'closure']",190805119,8/15/2019,1252,12,16,,,QUARRY RD,R STH,43.8239584,-91.21614824
"~ON THE ABOVE LISTED DATE AND TIME, WHILE ON ROUTINE PATROL IN THE 1400BLK OF W SILVER SPRING DRIVE, I WAS FLAGGED DOWN BY A CITIZEN FOR A TRAFFIC ACCIDENT AND BOTH VEHICLE WERE PARKED IN THE PARKING LOT OF LEXUS NORTH SHORE(1433 W SILVER SPRING DR).  I MADE CONTACT WITH UNIT ONE WHO STATED SHE WAS TRAVELING W/B ON SILVER SPRING AND ATTEMPTING TO MAKE A LEFT TURN INTO LEXUS NORTH SHORE.  UNIT 1 STATED THAT TRAFFIC WAS BACKED UP DUE TO CONSTRUCTION FURTHER EAST ON SILVER SPRING.  UNIT 1 ADVISED THAT SHE WAS WAIVED THROUGH THE INTERSECTION BY ANOTHER VEHICLE WHO WAS STOPPED AT THIS INTERSECTION BECAUSE OF THE CONSTRUCTION.  UNIT 1 PROCEEDED THROUGH THE GREEN LIGHT, MAKING HER LEFT TURN, WHEN SHE COLLIDED WITH UNIT 2 WHO SHE COULD NOT SEE.  UNIT 2 WAS TRAVELING E/B ON SILVER SPRING THROUGH HER GREEN LIGHT.  UNIT 2 ADVISED SHE COULD NOT SEE UNIT 1 UNTIL IT WAS TOO LATE AND THE CRASH OCCURRED.  THERE WAS MINOR DAMAGE TO BOTH VEHICLE.  DAMAGE TO THE FRONT BUMPER OF UNIT 1 AND MINOR DAMAGE TO THE REAR DRIVER SIDE FENDER OF UNIT 2.  BOTH VEHICLE'S WERE RENTALS.  UNIT 1 WAS LOANER VEHICLE THROUGH NORTH SHORE.  NORTH SHORE HAD INSURANCE OF SEDGWICK AND THE OPERATOR HAD INSURANCE THROUGH PROGRESSIVE.  UNIT 2 WAS A RENTAL VEHICLE THROUGH RUSS DARROW AND HAD INSURANCE THROUGH AMERICAN FAMILY INSURANCE. DUE TO BOTH VEHICLE'S HAVING DIFFERENT STORIES OF WHAT OCCURRED AND NO VIABLE WITNESSES, NO CITATIONS WERE ISSUED.  PLEASE SEE ACCIDENT REPORT FOR FURTHER INFORMATION.~~
",0.999593239,"['the construction', 'construction unit', 'to construction']","['construction', 'construction', 'rentals']",190709925,7/26/2019,1640,16,,W SILVER SPRING DR,,N BRIDGEWOOD LN,U CITY,43.118835,-87.9288204
"~DRIVER OF VEHICLE #1 STATED SHE WAS WAITING FOR CONSTRUCTION WORKERS AND VEHICLES TO CLEAR ROADWAY BUT STATED SHE THOUGHT IT WAS GOING TO TAKE AWHILE.  DRIVER OF VEHICLE #1 THEN DECIDED TO BACK UP HOWEVER WHILE BACKING UP SHE FAILED TO SEE VEHICLE #2 LEGALLY PARKED ON ROADWAY.  DRIVER STATED SHE BACKED INTO VEHICLE #2 BECAUSE SHE DID NOT SEE IT AND ALSO HER BACKUP WARNING DID NOT SOUND.  THE SUBJECT OF VEHICLE #2 STATED HE AND HIS CREW WERE WORKING AND OBSERVED VEHICLE #1 BACK UP AND STRIKE THEIR WORK TRUCK WHICH WAS PARKED ON THE STREET.  MINOR DAMAGE TO BOTH VEHICLES.  NO INJURIES WERE REPORTED AT THE TIME OF ACCIDENT.  C.TRACY#358~~MS 205
",0.999592614,"['workers and', 'for construction', 'construction workers']","['construction', 'workers', 'crew']",190604299,6/10/2019,1703,17,,CAPELLA WAY,,GALLANT DRIVE,U CITY,,
"~UNIT 1 AND UNIT 2 WERE TRAVELING NORTHBOUND ON THE 2300 BLOCK OF NORTH 35TH STREET. UNIT 2 STATED THAT UNIT 1 WAS BEHIND HIM WEAVING IN AND OUT OF TRAFFIC TRYING TO PASS HIM BEFORE THE CONSTRUCTION LANE  STARTED. UNIT 1 STATED THAT UNIT 2 DEVIATED INTO HIS LANE COLLIDING WITH HIM.  UNIT 1 STATED THAT HE WAS MERGING INTO THE LANE TO AVOID THE CONSTRUCTION. UNIT 1 STATED THAT UNIT 2 ACCELERATED STRIKING HIS AUTO.~~
",0.999562374,"['construction lane', 'the construction', 'construction unit']","['construction', 'construction']",190904640,9/17/2019,1615,16,,N 35TH ST,,W NORTH AVE,U CITY,43.06022189,-87.95752492
"~UNITS 1 AND 2 WESTBOUND ON ABERG AVE., (HYW 30).  UNITS 1 &2 ADVISED THAT A WORK CREW WAS BLOCKING THE LEFT LANE WITH ORANGE CONES.  THERE WERE NO OTHER WARNING SIGNS OF LANE CLOSURE.  VEHICLE WERE STOPPING AND MERGING QUICKLY.  UNIT 1 STOPPED QUICKLY AND UNIT 2 COULD NOT STOP FAST ENOUGH AND REAR ENDED UNIT 1.~~
",0.99955188,"['with orange', 'lane closure', 'a work', 'warning signs', 'orange cones', 'work crew', 'crew was']","['closure', 'cones', 'orange', 'crew']",190802581,8/12/2019,1013,10,,ABERG AVE,,SHOPKO DR,U CITY,43.1106895,-89.34738472
"~""UNIT 1 STATED HE WAS TRAVELING 70 OR SLIGHTLY BELOW WHEN UNIT 2 AND 3 BRAKED.  UNIT 1 STATED HE BRAKED BUT THE VEHICLE DID NOT STOP.  UNIT 1 IMPACT UNIT 2 PUSHING UNIT 2 INTO UNIT 3.  UNIT 1 STARTED ON FIRE.  UNIT 2 STATED VEHICLES WERE GOING TO ONE LANE AND THERE WERE NO CARS BEHIND HIM.  HE STATED HE OBSERVED UNIT 1 """"COMING IN"""" FAST AND UNIT 2 KNEW HE WAS GOING TO BE STRUCK SO HE TRIED MOVING FORWARD TO LESSEN THE IMPACT.  UNIT 3 STATED THEY WERE TRAVELING AT A STEADY SPEED AND DID NOT RECALL OTHER VEHICLES SLOWING. MEDIAN WORK BEING COMPLETED IN THE AREA BUT NO ACTIVE LANE RESTRICTION. UNKNOWN IF LANE RESTRICTION AHEAD SIGN REMAINED, INCORRECTLY DIRECTED VEHICLES OF LEFT LANE CLOSURE.  NO BARREL RESTRICTIONS.""~~
",0.999543251,"['no active', 'lane closure', 'work being', 'to one', '1 impact', 'being completed', 'one lane']","['closure', 'barrel', 'active']",190707957,7/24/2019,1023,10,94,,,MISSOURI RD,R IH,43.10987398,-89.04550463
"~U2 WAS LEGALLY STOPPED IN TRAFFIC E/B ON HUMES RD BEHIND HEAVY CONGESTION DUE TO LANE CLOSURE AHEAD FOR CONSTRUCTION.  U1 WAS TRAVELING E/B BEHIND U2 AND LOOKED INTO REAR VIEW MIRROR AND REAR ENDED U2.~~
",0.999532472,"['for construction', 'closure ahead', 'lane closure', 'ahead for', 'congestion due', 'heavy congestion']","['construction', 'closure']",190410219,4/22/2019,1553,15,14,,,N PONTIAC DR,U STH,42.71826867,-88.98902508
"~I WAS DISPATCHED TO A PI CRASH ON I-41 S/B AT NATIONAL AVE. I MADE CONTACT WITH THE SOLE OCCUPANT OF UNIT ONE WHO WAS LAYING ON THE CONCRETE UNCONSCIOUS. SUBJECT DID NOT HAVE A PULSE AND WAS NOT BREATHING. I ADMINISTERED CPR UNTIL WEST ALLIS FIRE TOOK OVER.   UNIT TWO STATED THAT HE WAS DRIVING IN THE FARTHEST RIGHT LANE WHEN HE HEARD THE DRIVER OF THE MOTORCYCLE BEEPING HIS HORN. UNIT TWO LOOKED IN HIS MIRROR AND SAW THE MOTORCYCLE VERY CLOSE TO THE BACK REAR PART OF HIS VAN. UNIT TWO THEN SAW THE DRIVER ON THE MOTORCYCLE HIT A TRAFFIC CONE IN THE RIGHT DISTRESS LANE AND FLIPPED OVER HIS MOTORCYCLE.   THE WITNESS STATED SHE WAS IN LANE FOUR BEHIND THE MOTORCYCLE AND A WHITE VAN WAS IN LANE THREE AND THEY WERE TRAVELING SIDE-BY-SIDE AT NORMAL FREEWAY SPEEDS. THE WHITE VAN STARTED TO COME OVER INTO LANE FOUR AND THE MOTORCYCLE TRIED TO GET THE VAN'S ATTENTION AND ENDED UP IN THE RIGHT DISTRESS LANE. THE MOTORCYCLE THEN STRUCK AN ORANGE BARREL AND LOST CONTROL OF HIS MOTORCYCLE AND IT WENT DOWN. THE VAN NEVER STRUCK THE MOTORCYCLE AND SHE STATES THAT THEY PROBABLY NEVER SAW THE MOTORCYCLE IN THEIR BLIND SPOT.   UPON INVESTIGATION UNITS ONE AND TWO WERE TRAVELING S/B ON I-41 AT NATIONAL AVE. UNIT TWO WAS IN LANE THREE AND UNIT ONE WAS IN LANE FOUR. UNIT TWO MADE AN UNSAFE LANE CHANGE INTO LANE FOUR, WHICH WAS ALREADY OCCUPIED BY UNIT ONE. UNIT ONE MOVED OVER TO THE RIGHT DISTRESS LANE, WHILE HONKING HIS HORN, BECAUSE OF UNIT TWO MERGING INTO HIS LANE. UNIT ONE HIT A TRAFFIC BARREL THAT WAS IN THE RIGHT DISTRESS LANE AND WAS EJECTED OFF OF HIS MOTORCYCLE. THE OPERATOR OF UNIT ONE SUCCUMBED TO HIS INJURIES ON SCENE.    UNIT ONE'S VEHICLE WAS REMOVED BY ALL CITY TOWING.~~SQUAD 52; 5X
",0.999502286,"['traffic barrel', 'barrel and', 'orange barrel', 'allis fire', 'cone in', 'traffic cone', 'an orange']","['barrel', 'barrel', 'cone', 'orange']",190811533,8/15/2019,1110,11,41,IH 894,,RAMP W NATIONAL AVE TO IH 41,U CITY,42.99816538,-88.03815032
"~UNIT 1 WAS TRAVELING ON INTERSTATE 94 AT MILE MARKER 274 EAST BOUND. UNIT 1 HAD A TIRE BLOW. UNIT 1 TURNED TOWARDS THE MEDIAN SIDE OF THE ROAD. UNIT 1 STRUCK TWO CONSTRUCTION CONES AND A CONSTRUCTION ARROW SIGN. THE OBJECTS WERE NOT LIGHT UP. UNIT 1 THEN TURNED BACK TOWARDS EAST BOUND TRAFFIC AND CROSSED THE LEFT LANE AND THE VEHICLE CAME TO A STOP IN THE RIGHT LANE.~~
",0.999491452,"['a construction', 'two construction', 'construction cones', 'cones and']","['construction', 'construction', 'cones']",191004095,10/12/2019,855,8,94,,E,,R IH,43.08503502,-88.62148436
"~UNIT 1 WAS SB ON I39/90 IN THE LEFT LANE APPROACHING THE ON RAMP FROM HWY 14 TO SB I39/90.  UNIT 2 WAS SB ON I39/90 IN THE LEFT LANE BEHIND UNIT 1.  UNIT 2 CHANGED LANES AND BEGAN TO PASS UNIT 1 USING THE RIGHT LANE IN THE AREA OF THE ON RAMP.  UNIT 1 BEGAN TO CHANGE LANES AND DID NOT SEE UNIT 2 TO HIS RIGHT.  UNIT 1S PASSENGER SIDE REAR TRAILER MADE CONTACT WITH UNIT 2S DRIVER SIDE MIRROR.  UNIT 2 VEERED OFF AND STUCK A CONSTRUCTION BARREL CAUSING SCRATCHING TO THE FRONT PASSENGER SIDE.  BOTH UNITS PULLED TO THE RIGHT SHOULDER. NO INJURIES WERE REPORTED ON SCENE OF THE CRASH.~~
",0.999429954,"['barrel causing', 'a construction', 'construction barrel', '1s passenger']","['construction', 'barrel']",190305048,3/14/2019,1529,15,39,,14,,U IH,42.71286812,-88.98434988
"~05/03/2019 - 09:45 AM / PROPERTY DAMAGE ACCIDENT  /  VEH #1 WAS SOUTHBOUND ON N MILWAUKEE STREET MERGING TO TURN RIGHT TO HEAD WESTBOUND ON E MAIN STREET. VEH # 2 WAS TRAVELING IN THE CURB LANE COMING UP TO THE YIELD SPLIT SIGN TO MAKE THE SAME TURN AS VEH#1 / OPERATOR OF VEH#1 CLAIMS THAT OPERATOR OF VEH#2 SPED UP ON HER RIGHT SIDE AS SHE WAS TURNING. VEH# 2 OPERATOR CLAIMS THAT VEH#1 JUST TURNED INTO HIM. / MINOR DAMAGE ON BOTH VEHICLES / POLICE INFORMATION EXCHANGED WITH TWPD COMPLAINT NUMBER AT SCENE. BOTH OPERATORS LEFT THE SCENE IN THERE RESPECTIVE VEHICLES. IT SHOULD BE NOTED SOUTH MILWAUKEE STREET AND E MAIN STREET ARE CURRENTLY UNDER CONSTRUCTION CAUSING A DIFFERENT TRAFFIC PATTERN ON E MAIN STREET. NOTHING FURTHER - JSH~~VILLAGE OF WATERFORD (RACINE COUNTY)
",0.999402261,"['construction causing', 'currently under', 'under construction', 'traffic pattern']","['construction', 'pattern']",190501631,5/3/2019,945,9,,MILWAUKEE ST,,MAIN ST,R CITY,42.76291851,-88.20940495
"~WHILE ON PATROL IN MY MARKED SQUAD I WAS DISPATCHED TO A SINGLE CAR PERSONAL INJURY CRASH THAT OCCURRED ON I-94 SOUTHBOUND DREXEL AVENUE OFFRAMP. WHEN I ARRIVED ON SCENE I COULD SEE ONE VEHICLE PARTIALLY IN THE OFF RAMP LANE AGAINST THE ATTENUATOR.  UNIT 1 STATED THAT SHE WAS EXITING OFF AT DREXEL AVENUE ON THE OFF RAMP WHEN HER CAR SLID AND THAT IS WHEN SHE HIT THE WALL.   UPON INVESTIGATION I DETERMINED THAT UNIT 1 WAS TRAVELING SOUTHBOUND IN LANE 3 AND BEGAN TO EXIT ON THE OFF RAMP WHEN THE VEHICLE LOST CONTROL AND CRASHED INTO THE ATTENUATOR.  UNIT 1 REPORTED CHEST PAIN, KNEE PAIN, NO OTHER INJURIES REPORTED OR APPARENT  NO GOVERNMENT PROPERTY STRUCK: ATTENUATOR BELONGING TO MEGA RENTALS WAS STRUCK  ASSISTING SQUADS ; 55,84, OAK CREEK FIRE DEPARTMENT ENGINE 183 , OAK CREEK FIRE DEPARTMENT PARAMEDIC UNIT M-183, OAK CREEK BATTALLION 18  UNIT 1 TOWED BY RAY'S TOWING~~
",0.999401123,"['mega rentals', 'attenuator unit', 'the attenuator', 'i94 southbound']","['mega', 'attenuator', 'attenuator', 'attenuator', 'rentals']",190409381,4/29/2019,1613,16,,RAMP IH 41 TO W DREXEL AVE,41,IH 94,U CITY,42.90559349,-87.93634322
"~DRIVER WAS E/B ON CTH J NEAR 6TH AVE WHEN SHE DROVE AROUND THE ROAD CLOSED TRAFFIC BARRIERS. THE DRIVER WAS DISTRACTED BY HER PHONE AND HAD THE SUN IN HER EYES WHEN SHE CRASHED INTO THE EAST SIDE OF THE EMBANKMENT CREATED BY A ROAD WASH OUT. THE EMBANKMENT WAS APPROXIMATELY 8-10 FEET DEEP AND WIDE. DRIVER WAS INTERVIEW BY ADAMS COUNTY DEPUTY, SGT SIPLA. THE DRIVER WAS WEARING HER SAFETY BELT AND THE AIRBAGS WERE DEPLOYED. DRIVER WAS TRANSPORTED BY AMBULANCE WITH MINOR INJURIES. VEHICLE WAS REMOVED BY MEYERS TOWING.~~
",0.999339309,"['barriers the', 'closed traffic', 'traffic barriers', 'road closed', 'feet deep', 'created by']","['barriers', 'closed']",190310004,3/16/2019,744,7,J,,,6TH CT,R CTH,43.98186994,-89.7071002
"~UNIT ONE WAS TRAVELING N/B ON S CHASE AV STOPPED AT THE RED LIGHT AT THE INTERSECTION OF  S. CHASE AV AND 1ST ST DUE TO CONSTRUCTION SHE  THOUGHT THE STREET TO GO NORTH ON S CHASE AV WAS CLOSED. UNIT ONE REVERSED AND CONSEQUENTLY COLLIDED WITH UNIT TWO WHO ALSO TRAVELING N/B ON S. CHASE AV AND WAS STOPPED BEHIND HER VEHICLE AT THE RED LIGHT.~~
",0.999327839,"['construction she', 'to construction', 'closed unit', 'was closed']","['construction', 'closed']",190804928,8/15/2019,2050,20,38,,,S 1ST ST,U STH,42.99719664,-87.91258232
"~ON 01/25/2019, I RESPONDED TO A SINGLE  VEHICLE CRASH NORTHBOUND ON ON THE I-94 COLLECTOR RAMP AT THE COLLEGE AVENUE EXIT. UPON ARRIVAL, I OBSERVED A SINGLE VEHICLE STUCK ON TOP OF A SNOWBANK SURROUNDING THE CRASH IMPACT ATTENUATOR.   UNIT 1: STATES THAT SHE WAS TRAVELING NORTHBOUND ON I-94 IN THE FAR RIGHT LANE AT THE COLLEGE AVENUE OFF RAMP.  SHE NOTICED THAT THE LAYTON AVENUE EXIT WAS CLOSED, SO SHE DECIDED TO TAKE THE COLLEGE AVENUE EXIT. WHILE TAKING THE EXIT, SHE LOST CONTROL ON THE SNOW AND STRUCK THE IMPACT ATTENUATOR.   UPON INVESTIGATION: UNIT 1 WAS TRAVELING NORTHBOUND ON THE I-94 COLLECTOR RAMP AT COLLEGE AVENUE. SHE NOTICED THAT THE LAYTON AVENUE EXIT AHEAD WAS CLOSED, SO SHE DECIDED TO TAKE THE COLLEGE AVENUE EXIT RAMP. THE OPERATOR MADE THE DECISION WITHOUT ENOUGH TIME TO SAFELY MERGE ONTO THE OFF RAMP, AND LOST CONTROL ON THE SNOW. THE VEHICLE THEN STRUCK THE CRASH ATTENUATOR, BUT DID NOT CAUSE NOTICEABLE DAMAGE.   NO ASSISTING SQUADS  NO MEDICAL TRANSPORTS  TOWED BY RAYS TOWING  G COX 143~~
",0.999317553,"['crash attenuator', 'attenuator unit', 'was closed', 'impact attenuator', 'exit was', 'ahead was', 'safely merge']","['attenuator', 'attenuator', 'attenuator', 'closed', 'closed']",190113267,1/25/2019,2304,23,,CONNECTOR IH 43,,W HOWARD AVE,U CITY,42.97452228,-87.91536424
"~""ON 08/30/19 I, OFFICER ADAM ROSS OF THE EAGLE RIVER POLICE DEPARTMENT WAS ADVISED OF A REPORT OF A CAR ACCIDENT NEAR E PINE ST AND S SECOND ST IN THE CITY OF EAGLE RIVER, VILAS COUNTY, WISCONSIN.  I ARRIVED AND IT WAS DETERMINED THE ACCIDENT OCCURRED CLOSER TO 204 S SECOND ST.  I SPOKE WITH THOSE INVOLVED.  THE DRIVER OF UNIT 2 STATED SHE NEVER SAW UNIT 1 UNTIL SHE WAS STRUCK, LEADING HER TO BELIEVE IT MAY HAVE BEEN PARKED ON THE SIDE OF S SECOND ST.  I SPOKE WITH THE DRIVER AND PASSENGER OF UNIT 1.  INITIALLY I WAS TOLD THEY WERE DRIVING SOUTH BOUND IN THE LANE OF TRAFFIC AND UNIT 2 WENT AROUND THEM AND STRUCK THEM.  AFTER MORE QUESTIONS THEY SAID THEY WERE LEAVING AN ON STREET PARKING STALL WHEN THE CRASH OCCURRED.  THIS IS MORE CONSISTENT WITH THE DAMAGE, LIMITED TO THE DRIVER'S SIDE FRONT CORNER OF UNIT 1 AND STRIKING UNIT 2 NEAR THE FRONT OF THE DRIVER'S DOOR AND DAMAGING BOTH DOORS ON THE PASSENGER'S SIDE.  SEE PHOTOGRAPHS FOR MORE DETAILS.  THERE WAS ALSO A """"ROAD CONSTRUCTION AHEAD"""" SIGN WHICH MY HAVE SLIGHTLY BLOCKED BOTH VEHICLE'S VIEW OF THE OTHER.  ROAD CONSTRUCTION WAS TAKING PLACE ON PINE ST.""~~
",0.999251201,"['construction was', 'road construction', 'construction ahead']","['construction', 'construction']",190810719,8/30/2019,946,9,,S 2ND ST,,E WALL ST,R CITY,45.91485395,-89.24796838
"~ON THE ABOVE DATE AND TIME, I (OFFICER LUDOVICE) WAS ON DUTY IN THE CITY OF SPARTA. I WAS DISPATCHED TO A CALL OF A VEHICLE STUCK ON THE RAILROAD TRACKS. CONTACT WAS MADE WITH LONE OCCUPANT/DRIVER. DRIVER STATED HE WAS TRYING TO DRIVE TO BLACK RIVER FALLS AND GESTURED TO THE NORTH. DRIVER INDICATED HE WAS COMING FROM SPARTA ON MILWAUKEE AVE. WHICH IS CURRENTLY CLOSED FOR CONSTRUCTION 1/2 MILE FROM THE ACCIDENT SCENE. DRIVER STATED HE COULD NOT SEE THE CROSSING WELL AND DROVE ONTO THE TRACKS, GETTING STUCK. END OF REPORT~~
",0.999225804,"['currently closed', 'for construction', 'closed for', 'is currently']","['construction', 'closed']",190407468,4/29/2019,44,0,,MILWAUKEE AVE,,HAZELWOOD RD,U CITY,43.9455582,-90.78765664
